fiyat,il,ilce,emlak_tipi,m2_brut,m2_net,oda,bina_yasi,bulundugu_kat,kat_sayisi,isitma,banyo,balkon,esyali,kullanim_durumu,site_icerisinde,krediye_uygun,kimden,takas,salon,banyo/oda
215000,istanbul,beylikdüzü,daire,100,90,2,0,2,4,doğalgaz,1,var,hayır,boş,hayır,evet,inşaat firmasından,evet,1,0.5
219000,istanbul,beylikdüzü,daire,105,100,2,0,2,5,doğalgaz,1,var,hayır,boş,hayır,evet,inşaat firmasından,evet,1,0.5
189000,istanbul,esenyurt,daire,115,100,2,4,2,4,doğalgaz,1,var,hayır,boş,hayır,evet,emlak ofisinden,evet,1,0.5
265000,istanbul,başakşehir,daire,110,100,2,4,3,4,doğalgaz,1,var,hayır,boş,hayır,evet,emlak ofisinden,evet,1,0.5
670000,istanbul,eyüpsultan,daire,160,150,3,4,3,3,doğalgaz,2,var,hayır,boş,hayır,evet,emlak ofisinden,hayır,1,0.6666666666666666
695000,istanbul,beylikdüzü,daire,160,140,3,4,7,8,doğalgaz,2,var,hayır,boş,hayır,evet,emlak ofisinden,hayır,1,0.6666666666666666
620000,istanbul,maltepe,daire,80,70,2,0,4,10,merkezi,1,yok,hayır,boş,hayır,evet,inşaat firmasından,hayır,1,0.5
318000,istanbul,esenyurt,residence,118,95,2,7,20,29,merkezi,2,yok,hayır,boş,evet,evet,sahibinden,hayır,1,1.0
318000,istanbul,esenyurt,residence,118,95,2,7,20,29,merkezi,2,yok,hayır,boş,evet,evet,sahibinden,hayır,1,1.0
750000,istanbul,ümraniye,daire,175,155,6,13,4,4,doğalgaz,2,var,hayır,boş,hayır,evet,emlak ofisinden,evet,1,0.3333333333333333
810000,istanbul,maltepe,daire,100,90,2,0,kot 3,10,merkezi,2,var,hayır,boş,hayır,evet,inşaat firmasından,hayır,1,1.0
195000,istanbul,beyoğlu,daire,110,85,2,23,giriş katı,4,soba,1,yok,hayır,kiracılı,hayır,hayır,emlak ofisinden,evet,1,0.5
485000,istanbul,maltepe,daire,110,100,2,23,2,5,merkezi,1,var,hayır,boş,hayır,evet,emlak ofisinden,hayır,1,0.5
259000,istanbul,beylikdüzü,daire,110,100,1,2,8,11,doğalgaz,1,var,hayır,boş,hayır,evet,inşaat firmasından,evet,1,1.0
679000,istanbul,beylikdüzü,daire,110,110,2,0,3,6,doğalgaz,2,var,hayır,boş,evet,evet,inşaat firmasından,evet,1,1.0
630000,istanbul,ümraniye,daire,80,65,2,0,9,14,merkezi,2,var,hayır,boş,hayır,evet,inşaat firmasından,hayır,1,1.0
572000,istanbul,beylikdüzü,daire,140,130,3,1,4,5,doğalgaz,2,var,hayır,kiracılı,evet,evet,emlak ofisinden,hayır,1,0.6666666666666666
239999,istanbul,beylikdüzü,daire,110,100,2,0,2,4,doğalgaz,1,var,hayır,boş,hayır,evet,emlak ofisinden,evet,1,0.5
195000,istanbul,esenyurt,daire,95,80,2,3,yüksek giriş,6,doğalgaz,1,yok,hayır,boş,hayır,evet,inşaat firmasından,evet,1,0.5
189000,istanbul,esenyurt,daire,130,120,3,3,bahçe katı,5,doğalgaz,2,var,hayır,boş,hayır,evet,inşaat firmasından,evet,1,0.6666666666666666
359000,istanbul,çekmeköy,daire,150,130,3,1,çatı katı,4,doğalgaz,2,var,hayır,boş,hayır,evet,inşaat firmasından,evet,1,0.6666666666666666
183000,istanbul,beylikdüzü,daire,120,100,2,1,2,5,doğalgaz,2,var,hayır,boş,hayır,evet,inşaat firmasından,evet,1,1.0
365000,istanbul,pendik,daire,105,90,2,3,3,7,doğalgaz,1,var,hayır,boş,hayır,evet,emlak ofisinden,hayır,1,0.5
870000,istanbul,kadıköy,daire,130,90,2,28,bahçe katı,4,doğalgaz,1,yok,hayır,boş,hayır,evet,emlak ofisinden,hayır,1,0.5
290000,istanbul,esenyurt,daire,100,95,2,13,yüksek giriş,5,doğalgaz,2,yok,hayır,mülk sahibi,hayır,evet,sahibinden,hayır,1,1.0
290000,istanbul,esenyurt,daire,100,95,2,13,yüksek giriş,5,doğalgaz,2,yok,hayır,mülk sahibi,hayır,evet,sahibinden,hayır,1,1.0
449000,istanbul,esenler,daire,75,65,2,0,8,15,merkezi,1,var,hayır,boş,evet,evet,emlak ofisinden,evet,1,0.5
425000,istanbul,şişli,daire,77,72,2,7,1,5,doğalgaz,1,var,evet,boş,hayır,evet,inşaat firmasından,evet,1,0.5
639000,istanbul,beylikdüzü,daire,140,130,3,18,yüksek giriş,8,doğalgaz,2,var,hayır,boş,evet,evet,emlak ofisinden,evet,1,0.6666666666666666
395000,istanbul,esenyurt,daire,95,85,2,4,1,4,doğalgaz,1,var,hayır,mülk sahibi,hayır,evet,emlak ofisinden,evet,1,0.5
625000,istanbul,beylikdüzü,daire,120,100,2,1,2,4,doğalgaz,2,var,hayır,kiracılı,evet,evet,inşaat firmasından,evet,1,1.0
115000,istanbul,esenyurt,daire,95,85,2,2,bahçe katı,4,doğalgaz,1,yok,hayır,boş,hayır,evet,inşaat firmasından,evet,1,0.5
289000,istanbul,beylikdüzü,daire,115,95,2,3,1,5,doğalgaz,1,var,hayır,boş,hayır,evet,emlak ofisinden,evet,1,0.5
257000,istanbul,beylikdüzü,daire,110,90,2,0,1,5,doğalgaz,1,var,hayır,boş,hayır,evet,emlak ofisinden,evet,1,0.5
699999,istanbul,beylikdüzü,daire,225,180,3,1,5,5,doğalgaz,2,var,hayır,boş,evet,evet,emlak ofisinden,evet,2,0.6666666666666666
680000,istanbul,maltepe,daire,90,78,2,0,3,5,doğalgaz,2,var,hayır,boş,hayır,evet,emlak ofisinden,hayır,1,1.0
360000,istanbul,kağıthane,daire,90,85,2,23,4,5,doğalgaz,1,var,hayır,boş,hayır,hayır,emlak ofisinden,hayır,1,0.5
345000,istanbul,çekmeköy,daire,125,110,3,0,3,6,doğalgaz,2,var,hayır,boş,hayır,evet,inşaat firmasından,evet,1,0.6666666666666666
657000,istanbul,maltepe,daire,110,85,2,7,3,4,doğalgaz,1,var,hayır,mülk sahibi,hayır,evet,emlak ofisinden,hayır,1,0.5
435000,istanbul,ümraniye,daire,94,75,2,4,1,4,doğalgaz,1,var,hayır,boş,hayır,evet,sahibinden,hayır,1,0.5
430000,istanbul,şişli,daire,110,95,2,23,3,4,doğalgaz,1,var,hayır,boş,hayır,evet,sahibinden,hayır,1,0.5
305000,istanbul,arnavutköy,daire,90,85,2,0,2,4,doğalgaz,1,var,hayır,boş,hayır,evet,emlak ofisinden,hayır,1,0.5
675000,istanbul,ataşehir,daire,100,95,2,4,1,7,doğalgaz,1,yok,evet,kiracılı,hayır,evet,emlak ofisinden,hayır,1,0.5
265000,istanbul,esenyurt,daire,115,100,2,4,3,4,doğalgaz,2,var,hayır,boş,hayır,evet,emlak ofisinden,hayır,1,1.0
239900,istanbul,sancaktepe,daire,105,85,2,0,2,5,doğalgaz,1,yok,hayır,boş,hayır,evet,inşaat firmasından,evet,1,0.5
379000,istanbul,avcılar,daire,105,95,2,0,3,15,doğalgaz,1,var,hayır,boş,hayır,hayır,inşaat firmasından,hayır,1,0.5
630000,istanbul,tuzla,daire,131,97,3,0,5,11,merkezi,2,var,hayır,boş,evet,evet,inşaat firmasından,hayır,1,0.6666666666666666
196500,istanbul,sancaktepe,daire,100,90,2,0,yüksek giriş,3,doğalgaz,1,yok,hayır,boş,hayır,evet,sahibinden,evet,1,0.5
199000,istanbul,esenyurt,daire,105,95,2,13,1,5,doğalgaz,1,yok,hayır,boş,hayır,evet,inşaat firmasından,evet,1,0.5
420000,istanbul,esenyurt,daire,135,125,3,4,3,4,doğalgaz,2,var,hayır,boş,hayır,evet,emlak ofisinden,evet,1,0.6666666666666666
267500,istanbul,çekmeköy,daire,105,95,2,0,2,5,doğalgaz,1,var,hayır,boş,hayır,evet,inşaat firmasından,evet,1,0.5
399000,istanbul,başakşehir,daire,120,100,2,0,4,10,doğalgaz,1,var,hayır,boş,evet,evet,inşaat firmasından,evet,1,0.5
690000,istanbul,beşiktaş,daire,95,70,2,0,5,14,merkezi,1,yok,hayır,boş,evet,evet,inşaat firmasından,evet,1,0.5
460000,istanbul,gaziosmanpaşa,daire,90,85,2,7,1,4,doğalgaz,1,var,hayır,mülk sahibi,hayır,evet,emlak ofisinden,hayır,1,0.5
815000,istanbul,maltepe,daire,125,110,2,2,5,5,merkezi,2,var,hayır,boş,hayır,evet,emlak ofisinden,hayır,1,1.0
